No,NameKo,NameJa,NameEn,CV,Gender,Age,ProductionOrUnit,Weight,Height,B,W,H,Hobby,Birthday,BloodType,HairStyle,AreaFrom,MediaFrom,
137,모치즈키 히지리,望月聖,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
138,미즈노 미도리,水野翠,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
139,미즈키 세이라,水木聖?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
140,미후네 미유,美船美優,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
141,사죠 유키미,佐城雪美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
142,세나 시오리,?名詩織,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
143,시노하라 레이,篠原?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
144,아라키 히나,荒木比奈,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
145,아사리 나나미,?利七海,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
146,아야세 호노카,綾??乃香,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
147,아이카와 치나츠,相川千夏,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
148,야가미 마키노,八神マキノ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
149,오오이시 이즈미,大石泉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
150,오카자키 야스하,岡崎泰葉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
151,와쿠이 루미,和久井留美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
152,요시오카 사키,吉岡沙紀,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
153,우메키 오토하,梅木音葉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
154,우지이에 무츠미,氏家むつみ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
155,유우키 하루,結城晴,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
156,이쥬인 메구미,伊集院?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
157,케이트,ケイト,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
158,코무로 치나미,小室千奈美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
159,쿠로카와 치아키,?川千秋,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
160,키류 츠카사,桐生つかさ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
161,키리노 아야,桐野アヤ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
162,키바 마나미,木場?奈美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
163,키시베 아야카,岸部彩華,,-,F,,346 프로덕션,,,,,,,,,,사이타마,The iDOLM@STER Cinderella Girls,
164,타카미네 노아,高峯のあ,,-,F,,346 프로덕션,,,,,,,,,,나라,The iDOLM@STER Cinderella Girls,
165,타카하시 레이코,高橋?子,,-,F,,346 프로덕션,,,,,,,,,,카나가와,The iDOLM@STER Cinderella Girls,
166,타카후지 카코,鷹富士茄子,,-,F,,346 프로덕션,,,,,,,,,,시마네,The iDOLM@STER Cinderella Girls,
167,토고 아이,東?あい,,-,F,,346 프로덕션,,,,,,,,,,후쿠시마,The iDOLM@STER Cinderella Girls,
168,핫토리 토코,服部瞳子,,-,F,,346 프로덕션,,,,,,,,,,오이타,The iDOLM@STER Cinderella Girls,
169,헬렌,ヘレン,,-,F,,346 프로덕션,,,,,,,,,,-,The iDOLM@STER Cinderella Girls,
170,후루사와 요리코,古澤?子,,-,F,,346 프로덕션,,,,,,,,,,이바라키,The iDOLM@STER Cinderella Girls,
171,후지와라 하지메,藤原肇,,-,F,,346 프로덕션,,,,,,,,,,오카야마,The iDOLM@STER Cinderella Girls,
172,후지이 토모,藤居朋,,-,F,,346 프로덕션,,,,,,,,,,사가,The iDOLM@STER Cinderella Girls,
173,히이라기 시노,?志乃,,-,F,,346 프로덕션,,,,,,,,,,야마나시,The iDOLM@STER Cinderella Girls,
174,주니,-,,-,F,,346 프로덕션,,,,,,,,,,미국 시애틀,The iDOLM@STER Cinderella Girls,
175,나미키 메이코,?木芽衣子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
176,나탈리아,ナタリア,,-,F,,346 프로덕션,,,,,,,,,,브라질 리우데자네이루,The iDOLM@STER Cinderella Girls,
177,난죠 히카루,南?光,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
178,노노무라 소라,野?村そら,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
179,니시지마 카이,西島櫂,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
180,마나베 이츠키,?鍋いつき,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
181,마츠야마 쿠미코,松山久美子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
182,마키하라 시호,?原志保,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
183,마토바 리사,的場梨沙,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
184,메어리 코크란,メアリ??コクラン,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
185,무라카미 토모에,村上巴,,-,F,,346 프로덕션,,,,,,,,,,히로시마,The iDOLM@STER Cinderella Girls,
186,미요시 사나,三好紗南,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
187,사에지마 키요미,?島?美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
188,사와다 마리나,?田麻理采,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
189,사이토 요코,?藤洋子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
190,사토 신,佐藤心,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
191,센자키 에마,仙崎?磨,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
192,소마 나츠미,相馬夏美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
193,슈토 아오이,首藤葵,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
194,스기사카 우미,杉坂海,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
195,아이노 나기사,愛野渚,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
196,야구치 미우,矢ロ美羽,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
197,에비하라 나오,海老原菜帆,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
198,에토 미사키,衛藤美紗希,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
199,와카바야시 토모카,若林智香,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
200,요리타 요시노,依田芳乃,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
201,이브 산타클로스,イブ?サンタクロ?ス,,-,F,,346 프로덕션,,,,,,,,,,그린란드,The iDOLM@STER Cinderella Girls,
202,자이젠 토키코,財前時子,,-,F,,346 프로덕션,,,,,,,,,,아이치 현 나고야,The iDOLM@STER Cinderella Girls,
203,츠치야 아코,土屋?子,,-,F,,346 프로덕션,,,,,,,,,,시즈오카,The iDOLM@STER Cinderella Girls,
204,캐시 그라함,キャシ??グラ?ハ?ム,,-,F,,346 프로덕션,,,,,,,,,,미국 뉴욕,The iDOLM@STER Cinderella Girls,
205,코마츠 이부키,小松伊吹,,-,F,,346 프로덕션,,,,,,,,,,이바라키,The iDOLM@STER Cinderella Girls,
206,코세키 레이나,小?麗奈,,-,F,,346 프로덕션,,,,,,,,,,야마가타,The iDOLM@STER Cinderella Girls,
207,키타 히나코,喜多日菜子,,-,F,,346 프로덕션,,,,,,,,,,아키타,The iDOLM@STER Cinderella Girls,
208,키타가와 마히로,北川?尋,,-,F,,346 프로덕션,,,,,,,,,,카가와,The iDOLM@STER Cinderella Girls,
209,키타미 유즈,喜多見柚,,-,F,,346 프로덕션,,,,,,,,,,사이타마,The iDOLM@STER Cinderella Girls,
210,하마카와 아유나,浜川愛結奈,,-,F,,346 프로덕션,,,,,,,,,,오사카,The iDOLM@STER Cinderella Girls,
211,임유진,-,,-,F,,346 프로덕션,,,,,,,,,,한국 서울,The iDOLM@STER Cinderella Girls,
212,카스가 미라이,春日未?,,야마자키 하루카,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
213,키노시타 히나타,木下ひなた,,타무라 나오,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
214,줄리아,ジュリア,,테라카와 아이미,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
215,타카야마 사요코,高山紗代子,,코마가타 유리,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
216,타나카 코토하,田中琴葉,,타네다 리사,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
217,텐쿠바시 토모카,天空橋朋花,,코이와이 코토리,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
218,하코자키 세리카,箱崎星梨花,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
219,마츠다 아리사,松田?利沙,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
220,모가미 시즈카,最上?香,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
221,모치즈키 안나,望月杏奈,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
222,야부키 카나,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
223,에밀리 스튜어트,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
224,오오가미 타마키,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
225,키타카미 레이카,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
226,코우사카 우미,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
227,사타케 미나코,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
228,시마바라 엘레나,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
229,나가요시 스바루,永吉?,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
230,노노하라 아카네,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
231,바바 코노미,馬場このみ,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
232,후쿠다 노리코,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
233,마이하마 아유무,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
234,마카베 미즈키,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
235,모모세 리오,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
236,요코야마 나오,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
237,이부키 츠바사,伊吹翼,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
238,키타자와 시호,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
239,시노미야 카렌,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
240,스오우 모모코,周方桃子,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
241,도쿠가와 마츠리,?川まつり,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
242,토코로 메구미,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
243,토요카와 후우카,豊川風花,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
244,나카타니 이쿠,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
245,나나오 유리코,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
246,니카이도 치즈루,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
247,로코,ロコ,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
248,미야오 미야,,,,F,,765 MILLIONSTARS,,,,,,,,,,,The iDOLM@STER Million Live!,
249,히다카 아이,日高愛,,,F,,876 프로덕션,,,,,,,,,,,The iDOLM@STER Dearly Stars,
250,미즈타니 에리,,,,F,,876 프로덕션,,,,,,,,,,,The iDOLM@STER Dearly Stars,
251,아키즈키 료,秋月?,,,M,,876 프로덕션/315 프로덕션,,,,,,,,,,,The iDOLM@STER Dearly Stars/Side M,
252,아마가세 토우마,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
253,미즈시마 사키,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
254,아카이 스자쿠,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
255,아키야마 하야토,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
256,와타나베 미노리,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
257,아스란 BB Ⅱ세,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
258,엔죠지 미치루,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
259,이세야 시키,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
260,카부토 다이고,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
261,키무라 류,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
262,키자키 렌,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
263,타이가 타케루,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
264,타치바나 시로,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
265,텐도 테루,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
266,이쥬인 호쿠토,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
267,네코야나기 키리오,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
268,사쿠라바 카오루,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
269,사카키 나츠키,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
270,시노노메 소이치로,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
271,아오이 쿄스케,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
272,아쿠노 히데오,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
273,야마시타 지로,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
274,오카무라 나오,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
275,츠쿠모 카즈키,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
276,카구라 레이,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
277,쿠로노 겐부,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
278,타카죠 쿄지,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
279,하자마 미치오,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
280,후유미 준,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
281,미타라이 쇼타,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
282,마이타 루이,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
283,신겐 세이지,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
284,카미야 유키히로,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
285,카시와기 츠바사,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
286,키요스미 쿠로,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
287,피에르,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
288,아오이 유스케,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
289,와카자토 하루나,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
290,우즈키 마키오,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
291,츠즈키 케이,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
292,하나무라 쇼마,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
293,히메노 카논,,,,M,,315 프로덕션,,,,,,,,,,,The iDOLM@STER Side M,
294,타카미 치카,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
295,사쿠라우치 리코,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
296,마츠우라 카난,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
297,쿠로사와 루비,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
298,쿠로사와 다이아,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
299,츠시마 요시코,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
300,쿠니키다 하나마루,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
301,오하라 마리,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,
302,와타나베 요우,,,,F,,Aqours,,,,,,,,,,,Love Live! Sunshine,